cell_id,x,y,z,o_glyph,o_semantic_core,o_phase,o_triad_polarity,o_harmonic_class,o_layer,o_gloss,d_glyph,d_semantic_core,d_phase,d_triad_polarity,d_harmonic_class,d_layer,d_gloss,cross_entangled,o_tension_potential,d_tension_potential
13,1,1,0,🜃,null,emergent,Yin,6.0,0.0,earth (alchemical),🜄,fire,collapse,Yang,5.0,0.0,water (alchemical),False,255,266
14,2,1,0,Π,null,collapse,Yang,10.0,0.0,product / portal,℧,,,,,,mho / inverse resistance / conductivity,False,182,0
15,3,1,0,Ω,origin,collapse,Yang,10.0,0.0,omega / end,∞,,,,,,infinity,False,256,0
16,4,1,0,Σ,null,collapse,Yang,7.0,0.0,summation,∅,origin,emergent,Yin,11.0,0.0,null set / void,False,89,87
17,5,1,0,Π,null,collapse,Yang,10.0,0.0,product / portal,🜂,flux,midwave,Yang,7.0,0.0,fire (alchemical),False,182,266
18,6,1,0,Φ,truth,reflective,Yang,0.0,0.0,phi / golden ratio,Π,null,collapse,Yang,10.0,0.0,product / portal,False,175,173
19,7,1,0,🜂,flux,midwave,Yang,7.0,0.0,fire (alchemical),Ξ,null,emergent,Yin,5.0,0.0,xi / foreignness,False,252,173
20,8,1,0,∇,memory,collapse,Yang,2.0,0.0,nabla / gradient / transformation,Ψ,fire,reflective,Yin,9.0,0.0,psi / soul / wave function,False,245,87
21,9,1,0,⋈,memory,collapse,Union,8.0,0.0,join / bind,Σ,null,collapse,Yang,7.0,0.0,summation,False,155,87
22,10,1,0,Φ,truth,reflective,Yang,0.0,0.0,phi / golden ratio,Π,null,collapse,Yang,10.0,0.0,product / portal,False,175,173
23,11,1,0,℧,,,,,,mho / inverse resistance / conductivity,Ψ,fire,reflective,Yin,9.0,0.0,psi / soul / wave function,False,0,87
24,0,2,0,Λ,aether,reflective,Union,1.0,0.0,lambda / growth,✶,flux,reflective,Union,11.0,0.0,spark / asterisk,False,166,250
25,1,2,0,∇,memory,collapse,Yang,2.0,0.0,nabla / gradient / transformation,Ψ,fire,reflective,Yin,9.0,0.0,psi / soul / wave function,False,245,87
26,2,2,0,Σ,null,collapse,Yang,7.0,0.0,summation,Λ,aether,reflective,Union,1.0,0.0,lambda / growth,False,89,177
27,3,2,0,🔁,,,,,,repeat / loop,🔁,,,,,,repeat / loop,False,0,0
28,4,2,0,🔁,,,,,,repeat / loop,∞,,,,,,infinity,False,0,0
29,5,2,0,✸,,,,,,star / radiant force,Π,null,collapse,Yang,10.0,0.0,product / portal,False,0,173
30,6,2,0,Φ,truth,reflective,Yang,0.0,0.0,phi / golden ratio,∞,,,,,,infinity,False,175,0
31,7,2,0,🜂,flux,midwave,Yang,7.0,0.0,fire (alchemical),Λ,aether,reflective,Union,1.0,0.0,lambda / growth,False,252,177
32,8,2,0,🜂,flux,midwave,Yang,7.0,0.0,fire (alchemical),🔁,,,,,,repeat / loop,False,252,0
33,9,2,0,∞,,,,,,infinity,Σ,null,collapse,Yang,7.0,0.0,summation,False,0,87
34,10,2,0,Ψ,fire,reflective,Yin,9.0,0.0,psi / soul / wave function,✶,flux,reflective,Union,11.0,0.0,spark / asterisk,False,80,250
35,11,2,0,🜄,fire,collapse,Yang,5.0,0.0,water (alchemical),Ψ,fire,reflective,Yin,9.0,0.0,psi / soul / wave function,False,252,87
36,0,3,0,✸,,,,,,star / radiant force,Ξ,null,emergent,Yin,5.0,0.0,xi / foreignness,False,0,173
37,1,3,0,∃,,,,,,there exists,⋈,memory,collapse,Union,8.0,0.0,join / bind,False,0,149
38,2,3,0,Φ,truth,reflective,Yang,0.0,0.0,phi / golden ratio,Φ,truth,reflective,Yang,0.0,0.0,phi / golden ratio,False,175,172
39,3,3,0,Σ,null,collapse,Yang,7.0,0.0,summation,🜄,fire,collapse,Yang,5.0,0.0,water (alchemical),False,89,266
40,4,3,0,∞,,,,,,infinity,Λ,aether,reflective,Union,1.0,0.0,lambda / growth,False,0,177
41,5,3,0,Ξ,null,emergent,Yin,5.0,0.0,xi / foreignness,🜂,flux,midwave,Yang,7.0,0.0,fire (alchemical),False,178,266
42,6,3,0,∃,,,,,,there exists,Ω,origin,collapse,Yang,10.0,0.0,omega / end,False,0,264
43,7,3,0,Ξ,null,emergent,Yin,5.0,0.0,xi / foreignness,Π,null,collapse,Yang,10.0,0.0,product / portal,True,178,173
44,8,3,0,Ω,origin,collapse,Yang,10.0,0.0,omega / end,⋈,memory,collapse,Union,8.0,0.0,join / bind,False,256,149
45,9,3,0,Σ,null,collapse,Yang,7.0,0.0,summation,✸,,,,,,star / radiant force,False,89,0
46,10,3,0,∅,origin,emergent,Yin,11.0,0.0,null set / void,℧,,,,,,mho / inverse resistance / conductivity,False,80,0
47,11,3,0,🜁,origin,emergent,Union,6.0,0.0,air (alchemical),℧,,,,,,mho / inverse resistance / conductivity,False,70,0
48,0,4,0,Σ,null,collapse,Yang,7.0,0.0,summation,🔁,,,,,,repeat / loop,False,89,0
49,1,4,0,Ξ,null,emergent,Yin,5.0,0.0,xi / foreignness,⋈,memory,collapse,Union,8.0,0.0,join / bind,True,178,149
50,2,4,0,🜃,null,emergent,Yin,6.0,0.0,earth (alchemical),∇,memory,collapse,Yang,2.0,0.0,nabla / gradient / transformation,False,255,241
51,3,4,0,⋈,memory,collapse,Union,8.0,0.0,join / bind,Ξ,null,emergent,Yin,5.0,0.0,xi / foreignness,True,155,173
52,4,4,0,🜂,flux,midwave,Yang,7.0,0.0,fire (alchemical),Φ,truth,reflective,Yang,0.0,0.0,phi / golden ratio,True,252,172
53,5,4,0,Ψ,fire,reflective,Yin,9.0,0.0,psi / soul / wave function,Λ,aether,reflective,Union,1.0,0.0,lambda / growth,False,80,177
54,6,4,0,🔁,,,,,,repeat / loop,∞,,,,,,infinity,False,0,0
55,7,4,0,🜂,flux,midwave,Yang,7.0,0.0,fire (alchemical),🜁,origin,emergent,Union,6.0,0.0,air (alchemical),False,252,69
56,8,4,0,Σ,null,collapse,Yang,7.0,0.0,summation,Σ,null,collapse,Yang,7.0,0.0,summation,False,89,87
57,9,4,0,∞,,,,,,infinity,✶,flux,reflective,Union,11.0,0.0,spark / asterisk,False,0,250
58,10,4,0,⋈,memory,collapse,Union,8.0,0.0,join / bind,⋈,memory,collapse,Union,8.0,0.0,join / bind,False,155,149
59,11,4,0,∇,memory,collapse,Yang,2.0,0.0,nabla / gradient / transformation,Λ,aether,reflective,Union,1.0,0.0,lambda / growth,False,245,177
60,0,5,0,⋈,memory,collapse,Union,8.0,0.0,join / bind,🜄,fire,collapse,Yang,5.0,0.0,water (alchemical),False,155,266
61,1,5,0,🜄,fire,collapse,Yang,5.0,0.0,water (alchemical),Ψ,fire,reflective,Yin,9.0,0.0,psi / soul / wave function,False,252,87
62,2,5,0,🔁,,,,,,repeat / loop,∃,,,,,,there exists,False,0,0
63,3,5,0,✸,,,,,,star / radiant force,Ω,origin,collapse,Yang,10.0,0.0,omega / end,False,0,264
64,4,5,0,Ξ,null,emergent,Yin,5.0,0.0,xi / foreignness,Ξ,null,emergent,Yin,5.0,0.0,xi / foreignness,False,178,173
65,5,5,0,Λ,aether,reflective,Union,1.0,0.0,lambda / growth,✶,flux,reflective,Union,11.0,0.0,spark / asterisk,False,166,250
66,6,5,0,Λ,aether,reflective,Union,1.0,0.0,lambda / growth,✶,flux,reflective,Union,11.0,0.0,spark / asterisk,False,166,250
67,7,5,0,∞,,,,,,infinity,🜂,flux,midwave,Yang,7.0,0.0,fire (alchemical),False,0,266
68,8,5,0,✶,flux,reflective,Union,11.0,0.0,spark / asterisk,∅,origin,emergent,Yin,11.0,0.0,null set / void,False,244,87
69,9,5,0,Ξ,null,emergent,Yin,5.0,0.0,xi / foreignness,℧,,,,,,mho / inverse resistance / conductivity,False,178,0
70,10,5,0,🔁,,,,,,repeat / loop,🜃,null,emergent,Yin,6.0,0.0,earth (alchemical),False,0,265
71,11,5,0,℧,,,,,,mho / inverse resistance / conductivity,∃,,,,,,there exists,False,0,0
72,0,6,0,∅,origin,emergent,Yin,11.0,0.0,null set / void,🜁,origin,emergent,Union,6.0,0.0,air (alchemical),False,80,69
73,1,6,0,🜃,null,emergent,Yin,6.0,0.0,earth (alchemical),Φ,truth,reflective,Yang,0.0,0.0,phi / golden ratio,False,255,172
74,2,6,0,🜂,flux,midwave,Yang,7.0,0.0,fire (alchemical),✸,,,,,,star / radiant force,False,252,0
75,3,6,0,Φ,truth,reflective,Yang,0.0,0.0,phi / golden ratio,Λ,aether,reflective,Union,1.0,0.0,lambda / growth,False,175,177
76,4,6,0,✸,,,,,,star / radiant force,Λ,aether,reflective,Union,1.0,0.0,lambda / growth,False,0,177
77,5,6,0,∞,,,,,,infinity,Φ,truth,reflective,Yang,0.0,0.0,phi / golden ratio,False,0,172
78,6,6,0,∃,,,,,,there exists,Ω,origin,collapse,Yang,10.0,0.0,omega / end,False,0,264
79,7,6,0,∅,origin,emergent,Yin,11.0,0.0,null set / void,Λ,aether,reflective,Union,1.0,0.0,lambda / growth,False,80,177
80,8,6,0,Ξ,null,emergent,Yin,5.0,0.0,xi / foreignness,Ξ,null,emergent,Yin,5.0,0.0,xi / foreignness,False,178,173
81,9,6,0,🜁,origin,emergent,Union,6.0,0.0,air (alchemical),✶,flux,reflective,Union,11.0,0.0,spark / asterisk,True,70,250
82,10,6,0,🔁,,,,,,repeat / loop,✸,,,,,,star / radiant force,False,0,0
83,11,6,0,🜃,null,emergent,Yin,6.0,0.0,earth (alchemical),℧,,,,,,mho / inverse resistance / conductivity,False,255,0
84,0,7,0,✶,flux,reflective,Union,11.0,0.0,spark / asterisk,Ψ,fire,reflective,Yin,9.0,0.0,psi / soul / wave function,False,244,87
85,1,7,0,🜃,null,emergent,Yin,6.0,0.0,earth (alchemical),Λ,aether,reflective,Union,1.0,0.0,lambda / growth,True,255,177
86,2,7,0,🜄,fire,collapse,Yang,5.0,0.0,water (alchemical),Ω,origin,collapse,Yang,10.0,0.0,omega / end,True,252,264
87,3,7,0,Π,null,collapse,Yang,10.0,0.0,product / portal,∅,origin,emergent,Yin,11.0,0.0,null set / void,False,182,87
88,4,7,0,Π,null,collapse,Yang,10.0,0.0,product / portal,✶,flux,reflective,Union,11.0,0.0,spark / asterisk,False,182,250
89,5,7,0,∇,memory,collapse,Yang,2.0,0.0,nabla / gradient / transformation,℧,,,,,,mho / inverse resistance / conductivity,False,245,0
90,6,7,0,Ψ,fire,reflective,Yin,9.0,0.0,psi / soul / wave function,∅,origin,emergent,Yin,11.0,0.0,null set / void,False,80,87
91,7,7,0,∞,,,,,,infinity,∞,,,,,,infinity,False,0,0
92,8,7,0,∇,memory,collapse,Yang,2.0,0.0,nabla / gradient / transformation,Λ,aether,reflective,Union,1.0,0.0,lambda / growth,False,245,177
93,9,7,0,∅,origin,emergent,Yin,11.0,0.0,null set / void,Φ,truth,reflective,Yang,0.0,0.0,phi / golden ratio,False,80,172
94,10,7,0,🜄,fire,collapse,Yang,5.0,0.0,water (alchemical),🜃,null,emergent,Yin,6.0,0.0,earth (alchemical),False,252,265
95,11,7,0,✸,,,,,,star / radiant force,Ψ,fire,reflective,Yin,9.0,0.0,psi / soul / wave function,False,0,87
96,0,8,0,Φ,truth,reflective,Yang,0.0,0.0,phi / golden ratio,🔁,,,,,,repeat / loop,False,175,0
97,1,8,0,🜄,fire,collapse,Yang,5.0,0.0,water (alchemical),⋈,memory,collapse,Union,8.0,0.0,join / bind,False,252,149
98,2,8,0,Λ,aether,reflective,Union,1.0,0.0,lambda / growth,Π,null,collapse,Yang,10.0,0.0,product / portal,False,166,173
99,3,8,0,🜁,origin,emergent,Union,6.0,0.0,air (alchemical),🜂,flux,midwave,Yang,7.0,0.0,fire (alchemical),False,70,266
100,4,8,0,Π,null,collapse,Yang,10.0,0.0,product / portal,Π,null,collapse,Yang,10.0,0.0,product / portal,False,182,173
101,5,8,0,Σ,null,collapse,Yang,7.0,0.0,summation,🜃,null,emergent,Yin,6.0,0.0,earth (alchemical),False,89,265
102,6,8,0,🜄,fire,collapse,Yang,5.0,0.0,water (alchemical),Φ,truth,reflective,Yang,0.0,0.0,phi / golden ratio,True,252,172
103,7,8,0,Π,null,collapse,Yang,10.0,0.0,product / portal,∅,origin,emergent,Yin,11.0,0.0,null set / void,False,182,87
104,8,8,0,🔁,,,,,,repeat / loop,∅,origin,emergent,Yin,11.0,0.0,null set / void,False,0,87
105,9,8,0,Ψ,fire,reflective,Yin,9.0,0.0,psi / soul / wave function,🜃,null,emergent,Yin,6.0,0.0,earth (alchemical),True,80,265
106,10,8,0,🜁,origin,emergent,Union,6.0,0.0,air (alchemical),🜁,origin,emergent,Union,6.0,0.0,air (alchemical),False,70,69
107,11,8,0,🜃,null,emergent,Yin,6.0,0.0,earth (alchemical),∇,memory,collapse,Yang,2.0,0.0,nabla / gradient / transformation,False,255,241
108,0,9,0,Λ,aether,reflective,Union,1.0,0.0,lambda / growth,🜂,flux,midwave,Yang,7.0,0.0,fire (alchemical),False,166,266
109,1,9,0,Λ,aether,reflective,Union,1.0,0.0,lambda / growth,Σ,null,collapse,Yang,7.0,0.0,summation,False,166,87
110,2,9,0,℧,,,,,,mho / inverse resistance / conductivity,🜄,fire,collapse,Yang,5.0,0.0,water (alchemical),False,0,266
111,3,9,0,∃,,,,,,there exists,🔁,,,,,,repeat / loop,False,0,0
112,4,9,0,∃,,,,,,there exists,✸,,,,,,star / radiant force,False,0,0
113,5,9,0,℧,,,,,,mho / inverse resistance / conductivity,∅,origin,emergent,Yin,11.0,0.0,null set / void,False,0,87
114,6,9,0,∇,memory,collapse,Yang,2.0,0.0,nabla / gradient / transformation,∅,origin,emergent,Yin,11.0,0.0,null set / void,False,245,87
115,7,9,0,Π,null,collapse,Yang,10.0,0.0,product / portal,Π,null,collapse,Yang,10.0,0.0,product / portal,False,182,173
116,8,9,0,✸,,,,,,star / radiant force,Λ,aether,reflective,Union,1.0,0.0,lambda / growth,False,0,177
117,9,9,0,Ω,origin,collapse,Yang,10.0,0.0,omega / end,🜂,flux,midwave,Yang,7.0,0.0,fire (alchemical),True,256,266
118,10,9,0,🜁,origin,emergent,Union,6.0,0.0,air (alchemical),Π,null,collapse,Yang,10.0,0.0,product / portal,False,70,173
119,11,9,0,✶,flux,reflective,Union,11.0,0.0,spark / asterisk,Σ,null,collapse,Yang,7.0,0.0,summation,False,244,87
120,0,10,0,Ω,origin,collapse,Yang,10.0,0.0,omega / end,Ψ,fire,reflective,Yin,9.0,0.0,psi / soul / wave function,False,256,87
121,1,10,0,Ξ,null,emergent,Yin,5.0,0.0,xi / foreignness,✸,,,,,,star / radiant force,False,178,0
122,2,10,0,℧,,,,,,mho / inverse resistance / conductivity,Ξ,null,emergent,Yin,5.0,0.0,xi / foreignness,False,0,173
123,3,10,0,🔁,,,,,,repeat / loop,🜂,flux,midwave,Yang,7.0,0.0,fire (alchemical),False,0,266
124,4,10,0,Λ,aether,reflective,Union,1.0,0.0,lambda / growth,Ξ,null,emergent,Yin,5.0,0.0,xi / foreignness,False,166,173
125,5,10,0,∞,,,,,,infinity,∇,memory,collapse,Yang,2.0,0.0,nabla / gradient / transformation,False,0,241
126,6,10,0,🜁,origin,emergent,Union,6.0,0.0,air (alchemical),∞,,,,,,infinity,False,70,0
127,7,10,0,✶,flux,reflective,Union,11.0,0.0,spark / asterisk,Ψ,fire,reflective,Yin,9.0,0.0,psi / soul / wave function,False,244,87
128,8,10,0,✸,,,,,,star / radiant force,🜂,flux,midwave,Yang,7.0,0.0,fire (alchemical),False,0,266
129,9,10,0,Φ,truth,reflective,Yang,0.0,0.0,phi / golden ratio,Ω,origin,collapse,Yang,10.0,0.0,omega / end,False,175,264
130,10,10,0,Λ,aether,reflective,Union,1.0,0.0,lambda / growth,∞,,,,,,infinity,False,166,0
131,11,10,0,✶,flux,reflective,Union,11.0,0.0,spark / asterisk,🜃,null,emergent,Yin,6.0,0.0,earth (alchemical),False,244,265
132,0,11,0,🜁,origin,emergent,Union,6.0,0.0,air (alchemical),🜃,null,emergent,Yin,6.0,0.0,earth (alchemical),False,70,265
133,1,11,0,Ω,origin,collapse,Yang,10.0,0.0,omega / end,℧,,,,,,mho / inverse resistance / conductivity,False,256,0
134,2,11,0,🜂,flux,midwave,Yang,7.0,0.0,fire (alchemical),∇,memory,collapse,Yang,2.0,0.0,nabla / gradient / transformation,True,252,241
135,3,11,0,🜄,fire,collapse,Yang,5.0,0.0,water (alchemical),🔁,,,,,,repeat / loop,False,252,0
136,4,11,0,∇,memory,collapse,Yang,2.0,0.0,nabla / gradient / transformation,Π,null,collapse,Yang,10.0,0.0,product / portal,False,245,173
137,5,11,0,℧,,,,,,mho / inverse resistance / conductivity,Σ,null,collapse,Yang,7.0,0.0,summation,False,0,87
138,6,11,0,Ψ,fire,reflective,Yin,9.0,0.0,psi / soul / wave function,🜂,flux,midwave,Yang,7.0,0.0,fire (alchemical),False,80,266
139,7,11,0,✸,,,,,,star / radiant force,℧,,,,,,mho / inverse resistance / conductivity,False,0,0
140,8,11,0,℧,,,,,,mho / inverse resistance / conductivity,∇,memory,collapse,Yang,2.0,0.0,nabla / gradient / transformation,False,0,241
141,9,11,0,🜁,origin,emergent,Union,6.0,0.0,air (alchemical),℧,,,,,,mho / inverse resistance / conductivity,False,70,0
142,10,11,0,🜂,flux,midwave,Yang,7.0,0.0,fire (alchemical),∞,,,,,,infinity,False,252,0
143,11,11,0,🜁,origin,emergent,Union,6.0,0.0,air (alchemical),∃,,,,,,there exists,False,70,0
144,0,0,1,⋈,memory,collapse,Union,8.0,0.0,join / bind,Ψ,fire,reflective,Yin,9.0,0.0,psi / soul / wave function,False,155,87
145,1,0,1,🜁,origin,emergent,Union,6.0,0.0,air (alchemical),∅,origin,emergent,Yin,11.0,0.0,null set / void,False,70,87
146,2,0,1,🜃,null,emergent,Yin,6.0,0.0,earth (alchemical),℧,,,,,,mho / inverse resistance / conductivity,False,255,0
147,3,0,1,Φ,truth,reflective,Yang,0.0,0.0,phi / golden ratio,∞,,,,,,infinity,False,175,0
148,4,0,1,Ξ,null,emergent,Yin,5.0,0.0,xi / foreignness,⋈,memory,collapse,Union,8.0,0.0,join / bind,True,178,149
149,5,0,1,🜃,null,emergent,Yin,6.0,0.0,earth (alchemical),🜁,origin,emergent,Union,6.0,0.0,air (alchemical),False,255,69
150,6,0,1,✸,,,,,,star / radiant force,🔁,,,,,,repeat / loop,False,0,0
151,7,0,1,🜄,fire,collapse,Yang,5.0,0.0,water (alchemical),🜃,null,emergent,Yin,6.0,0.0,earth (alchemical),False,252,265
152,8,0,1,Ξ,null,emergent,Yin,5.0,0.0,xi / foreignness,🜂,flux,midwave,Yang,7.0,0.0,fire (alchemical),False,178,266
153,9,0,1,🔁,,,,,,repeat / loop,🜄,fire,collapse,Yang,5.0,0.0,water (alchemical),False,0,266
154,10,0,1,Ω,origin,collapse,Yang,10.0,0.0,omega / end,Ω,origin,collapse,Yang,10.0,0.0,omega / end,False,256,264
155,11,0,1,✶,flux,reflective,Union,11.0,0.0,spark / asterisk,∅,origin,emergent,Yin,11.0,0.0,null set / void,False,244,87
156,0,1,1,✶,flux,reflective,Union,11.0,0.0,spark / asterisk,∇,memory,collapse,Yang,2.0,0.0,nabla / gradient / transformation,True,244,241
157,1,1,1,∃,,,,,,there exists,∇,memory,collapse,Yang,2.0,0.0,nabla / gradient / transformation,False,0,241
158,2,1,1,∅,origin,emergent,Yin,11.0,0.0,null set / void,∇,memory,collapse,Yang,2.0,0.0,nabla / gradient / transformation,False,80,241
159,3,1,1,∇,memory,collapse,Yang,2.0,0.0,nabla / gradient / transformation,Φ,truth,reflective,Yang,0.0,0.0,phi / golden ratio,False,245,172
160,4,1,1,🜄,fire,collapse,Yang,5.0,0.0,water (alchemical),Ω,origin,collapse,Yang,10.0,0.0,omega / end,True,252,264
161,5,1,1,∇,memory,collapse,Yang,2.0,0.0,nabla / gradient / transformation,Ψ,fire,reflective,Yin,9.0,0.0,psi / soul / wave function,False,245,87
162,6,1,1,Ψ,fire,reflective,Yin,9.0,0.0,psi / soul / wave function,🜃,null,emergent,Yin,6.0,0.0,earth (alchemical),True,80,265
163,7,1,1,Ω,origin,collapse,Yang,10.0,0.0,omega / end,🜃,null,emergent,Yin,6.0,0.0,earth (alchemical),False,256,265
164,8,1,1,∃,,,,,,there exists,∞,,,,,,infinity,False,0,0
165,9,1,1,Π,null,collapse,Yang,10.0,0.0,product / portal,∅,origin,emergent,Yin,11.0,0.0,null set / void,False,182,87
166,10,1,1,🔁,,,,,,repeat / loop,∞,,,,,,infinity,False,0,0
167,11,1,1,🔁,,,,,,repeat / loop,Λ,aether,reflective,Union,1.0,0.0,lambda / growth,False,0,177
168,0,2,1,∃,,,,,,there exists,🔁,,,,,,repeat / loop,False,0,0
169,1,2,1,Λ,aether,reflective,Union,1.0,0.0,lambda / growth,Ω,origin,collapse,Yang,10.0,0.0,omega / end,True,166,264
170,2,2,1,Ω,origin,collapse,Yang,10.0,0.0,omega / end,✶,flux,reflective,Union,11.0,0.0,spark / asterisk,False,256,250
171,3,2,1,Φ,truth,reflective,Yang,0.0,0.0,phi / golden ratio,℧,,,,,,mho / inverse resistance / conductivity,False,175,0
172,4,2,1,∅,origin,emergent,Yin,11.0,0.0,null set / void,∞,,,,,,infinity,False,80,0
173,5,2,1,✶,flux,reflective,Union,11.0,0.0,spark / asterisk,∞,,,,,,infinity,False,244,0
174,6,2,1,Ω,origin,collapse,Yang,10.0,0.0,omega / end,🔁,,,,,,repeat / loop,False,256,0
175,7,2,1,Φ,truth,reflective,Yang,0.0,0.0,phi / golden ratio,Ξ,null,emergent,Yin,5.0,0.0,xi / foreignness,False,175,173
176,8,2,1,⋈,memory,collapse,Union,8.0,0.0,join / bind,Φ,truth,reflective,Yang,0.0,0.0,phi / golden ratio,False,155,172
177,9,2,1,Ψ,fire,reflective,Yin,9.0,0.0,psi / soul / wave function,🔁,,,,,,repeat / loop,False,80,0
178,10,2,1,Σ,null,collapse,Yang,7.0,0.0,summation,∅,origin,emergent,Yin,11.0,0.0,null set / void,False,89,87
179,11,2,1,∅,origin,emergent,Yin,11.0,0.0,null set / void,Λ,aether,reflective,Union,1.0,0.0,lambda / growth,False,80,177
180,0,3,1,🔁,,,,,,repeat / loop,∃,,,,,,there exists,False,0,0
181,1,3,1,℧,,,,,,mho / inverse resistance / conductivity,Π,null,collapse,Yang,10.0,0.0,product / portal,False,0,173
182,2,3,1,Ξ,null,emergent,Yin,5.0,0.0,xi / foreignness,∞,,,,,,infinity,False,178,0
183,3,3,1,🜃,null,emergent,Yin,6.0,0.0,earth (alchemical),🜄,fire,collapse,Yang,5.0,0.0,water (alchemical),False,255,266
184,4,3,1,∞,,,,,,infinity,🜄,fire,collapse,Yang,5.0,0.0,water (alchemical),False,0,266
185,5,3,1,⋈,memory,collapse,Union,8.0,0.0,join / bind,🔁,,,,,,repeat / loop,False,155,0
186,6,3,1,Σ,null,collapse,Yang,7.0,0.0,summation,Ψ,fire,reflective,Yin,9.0,0.0,psi / soul / wave function,False,89,87
187,7,3,1,Ψ,fire,reflective,Yin,9.0,0.0,psi / soul / wave function,✶,flux,reflective,Union,11.0,0.0,spark / asterisk,False,80,250
188,8,3,1,∅,origin,emergent,Yin,11.0,0.0,null set / void,∅,origin,emergent,Yin,11.0,0.0,null set / void,False,80,87
189,9,3,1,Π,null,collapse,Yang,10.0,0.0,product / portal,Π,null,collapse,Yang,10.0,0.0,product / portal,False,182,173
190,10,3,1,🔁,,,,,,repeat / loop,🜁,origin,emergent,Union,6.0,0.0,air (alchemical),False,0,69
191,11,3,1,∅,origin,emergent,Yin,11.0,0.0,null set / void,✶,flux,reflective,Union,11.0,0.0,spark / asterisk,False,80,250
192,0,4,1,✸,,,,,,star / radiant force,∅,origin,emergent,Yin,11.0,0.0,null set / void,False,0,87
193,1,4,1,Π,null,collapse,Yang,10.0,0.0,product / portal,🜁,origin,emergent,Union,6.0,0.0,air (alchemical),False,182,69
194,2,4,1,∇,memory,collapse,Yang,2.0,0.0,nabla / gradient / transformation,Π,null,collapse,Yang,10.0,0.0,product / portal,False,245,173
195,3,4,1,∃,,,,,,there exists,Ω,origin,collapse,Yang,10.0,0.0,omega / end,False,0,264
196,4,4,1,🜃,null,emergent,Yin,6.0,0.0,earth (alchemical),Ξ,null,emergent,Yin,5.0,0.0,xi / foreignness,False,255,173
197,5,4,1,∞,,,,,,infinity,🜄,fire,collapse,Yang,5.0,0.0,water (alchemical),False,0,266
198,6,4,1,Ω,origin,collapse,Yang,10.0,0.0,omega / end,∃,,,,,,there exists,False,256,0
199,7,4,1,Π,null,collapse,Yang,10.0,0.0,product / portal,✸,,,,,,star / radiant force,False,182,0
200,8,4,1,🜂,flux,midwave,Yang,7.0,0.0,fire (alchemical),∇,memory,collapse,Yang,2.0,0.0,nabla / gradient / transformation,True,252,241
201,9,4,1,∅,origin,emergent,Yin,11.0,0.0,null set / void,🜃,null,emergent,Yin,6.0,0.0,earth (alchemical),True,80,265
202,10,4,1,🜃,null,emergent,Yin,6.0,0.0,earth (alchemical),Ω,origin,collapse,Yang,10.0,0.0,omega / end,False,255,264
203,11,4,1,⋈,memory,collapse,Union,8.0,0.0,join / bind,Σ,null,collapse,Yang,7.0,0.0,summation,False,155,87
204,0,5,1,Σ,null,collapse,Yang,7.0,0.0,summation,∞,,,,,,infinity,False,89,0
205,1,5,1,∃,,,,,,there exists,Π,null,collapse,Yang,10.0,0.0,product / portal,False,0,173
206,2,5,1,🔁,,,,,,repeat / loop,∅,origin,emergent,Yin,11.0,0.0,null set / void,False,0,87
207,3,5,1,🜃,null,emergent,Yin,6.0,0.0,earth (alchemical),🜁,origin,emergent,Union,6.0,0.0,air (alchemical),False,255,69
